RowNumber,StudentId,StudentScore,School,Gender,Age,tenure,previousScore,sportsParticipated,Sibling,IsRegular,everFailed,IsFailed
1,10023864,844,Govt Primary School,girl,11,2,344,3,0,1,1,1
2,10029355,230,Navodaya Vidyalaya,girl,7,2,918,2,0,1,1,0
3,10023514,949,Govt Primary School,girl,13,4,340,6,1,0,0,1
4,10043676,433,Govt Primary School,girl,12,3,274,0,1,0,1,1
5,10018269,322,Navodaya Vidyalaya,girl,9,2,434,1,1,1,0,1
6,10046040,553,Navodaya Vidyalaya,boy,10,3,943,2,0,1,0,0
7,10037204,236,Govt Primary School,boy,7,3,271,5,0,1,1,0
8,10029430,805,Kendriya Vidyalaya,girl,13,2,647,5,0,1,1,0
9,10001581,503,Govt Primary School,boy,11,2,732,0,1,0,0,1
10,10029705,706,Govt Primary School,boy,9,4,553,4,1,0,0,1
11,10006998,932,Govt Primary School,boy,12,2,528,5,1,0,1,1
12,10034861,307,Navodaya Vidyalaya,boy,6,3,657,6,1,0,0,1
13,10039168,451,Govt Primary School,girl,8,4,749,6,1,0,1,1
14,10016349,524,Govt Primary School,girl,11,3,853,2,1,0,0,1
15,10040243,247,Navodaya Vidyalaya,girl,13,4,477,7,0,0,1,1
16,10036116,342,Kendriya Vidyalaya,boy,9,3,605,2,1,1,0,1
17,10022179,549,Kendriya Vidyalaya,boy,13,4,383,4,1,1,1,0
18,10001353,558,Navodaya Vidyalaya,girl,12,3,928,0,1,0,0,1
19,10035018,859,Navodaya Vidyalaya,boy,7,2,542,1,0,1,0,1
20,10009532,201,Govt Primary School,girl,14,3,750,1,1,0,1,0
21,10003483,804,Govt Primary School,boy,6,4,270,6,0,0,0,0
22,10021810,424,Navodaya Vidyalaya,girl,9,2,878,2,1,0,1,1
23,10049046,464,Navodaya Vidyalaya,girl,11,3,993,7,1,1,0,0
24,10009368,909,Govt Primary School,boy,14,2,595,7,0,1,1,1
25,10028074,435,Govt Primary School,girl,10,4,851,7,0,0,1,1
26,10024014,378,Govt Primary School,boy,8,3,425,0,0,1,1,0
27,10014578,692,Kendriya Vidyalaya,boy,10,3,987,4,0,0,1,1
28,10028559,302,Govt Primary School,boy,7,4,921,4,0,1,1,1
29,10004882,911,Kendriya Vidyalaya,girl,6,4,378,1,0,0,0,1
30,10049157,817,Govt Primary School,boy,10,3,654,4,1,0,1,0
31,10048799,202,Navodaya Vidyalaya,girl,14,3,1000,7,1,0,0,1
32,10044576,260,Govt Primary School,boy,14,4,284,3,1,1,0,1
33,10023294,762,Kendriya Vidyalaya,boy,10,3,663,2,1,0,0,1
34,10003363,935,Navodaya Vidyalaya,girl,10,4,333,4,1,1,0,0
35,10027469,238,Navodaya Vidyalaya,girl,10,2,604,3,0,1,0,0
36,10000683,759,Govt Primary School,girl,13,3,398,6,0,0,0,1
37,10045204,722,Navodaya Vidyalaya,boy,8,3,297,3,0,0,1,0
38,10011916,842,Navodaya Vidyalaya,boy,11,3,664,6,1,0,1,1
39,10037207,441,Govt Primary School,boy,6,2,324,7,1,0,0,1
40,10018644,972,Kendriya Vidyalaya,boy,7,4,485,5,0,1,1,0
41,10028719,473,Navodaya Vidyalaya,boy,7,3,958,7,1,0,1,0
42,10038803,726,Govt Primary School,girl,12,2,927,0,0,0,0,1
43,10004630,449,Govt Primary School,girl,10,2,316,7,0,0,0,1
44,10018527,631,Govt Primary School,girl,12,3,785,2,1,0,0,1
